niche,feature,category2,category_label,feature_group,climate_period,n_zones,mean_importance_share,sd_importance_share,median_importance_share,selected_zones,top5_zones,top10_zones,se_importance_share,selection_frequency,top5_frequency,top10_frequency,category_variable_rank,inference_scope,common_factor,overall_mean_importance_share,overall_selection_frequency,overall_top5_frequency,importance_difference_from_all_zones,importance_ratio_to_all_zones,selection_frequency_difference,top5_frequency_difference
climate,PPT_at,alpine_vegetation,alpine vegetation,Precipitation,Autumn,3,0.0254125022197224,0.0237547498195417,0.0291777417990871,2,0,1,0.0137148112028446,0.666666666666667,0,0.333333333333333,15,within-category pattern,FALSE,0.0463188209122027,0.830188679245283,0.433962264150943,-0.0209063186924804,0.548643115676276,-0.163522012578616,-0.433962264150943
climate,Tmin_wt,alpine_vegetation,alpine vegetation,Temperature,Winter,3,0,0,0,0,0,0,0,0,0,0,35,within-category pattern,FALSE,0.0212110363035326,0.358490566037736,0.113207547169811,-0.0212110363035326,0,-0.358490566037736,-0.113207547169811
climate,MAP,alpine_vegetation,alpine vegetation,Precipitation,Annual,3,0.0266352571160537,0.0240280927291678,0.03322447211866,2,0,1,0.0138726258052983,0.666666666666667,0,0.333333333333333,14,within-category pattern,FALSE,0.0493205908332978,0.792452830188679,0.39622641509434,-0.0226853337172441,0.540043350374292,-0.125786163522013,-0.39622641509434
climate,PPT_sp,alpine_vegetation,alpine vegetation,Precipitation,Spring,3,0.0235639144153821,0.0228892890253212,0.0249788081452555,2,0,0,0.0132151371803283,0.666666666666667,0,0,17,within-category pattern,FALSE,0.0471119024737415,0.830188679245283,0.283018867924528,-0.0235479880583594,0.500169026893274,-0.163522012578616,-0.283018867924528
climate,CMD_sp,alpine_vegetation,alpine vegetation,Climatic moisture balance,Spring,3,0,0,0,0,0,0,0,0,0,0,35,within-category pattern,FALSE,0.0239649766202986,0.622641509433962,0.0377358490566038,-0.0239649766202986,0,-0.622641509433962,-0.0377358490566038
climate,DD5_sm,alpine_vegetation,alpine vegetation,Growing season and degree-days,Summer,3,0,0,0,0,0,0,0,0,0,0,35,within-category pattern,FALSE,0.0330557230218685,0.716981132075472,0.169811320754717,-0.0330557230218685,0,-0.716981132075472,-0.169811320754717
climate,DD_18_wt,cropland,cropland,Growing season and degree-days,Winter,7,0.0648424723539042,0.0360951517369489,0.0697499179069581,6,5,5,0.013642685004444,0.857142857142857,0.714285714285714,0.714285714285714,1,within-category pattern,TRUE,0.0313208660100901,0.547169811320755,0.207547169811321,0.0335216063438141,2.07026435134376,0.309973045822102,0.506738544474394
climate,DD5,cropland,cropland,Growing season and degree-days,Annual,7,0.0319975687671073,0.0310164148872941,0.0445436504924811,4,2,3,0.0117231029075117,0.571428571428571,0.285714285714286,0.428571428571429,9,within-category pattern,TRUE,0.0159814962540696,0.320754716981132,0.0566037735849057,0.0160160725130377,2.00216351826002,0.250673854447439,0.22911051212938
climate,Eref_wt,cropland,cropland,Radiation and evaporative demand,Winter,7,0.0269864438315209,0.0476506629588027,0,2,2,2,0.0180102577137641,0.285714285714286,0.285714285714286,0.285714285714286,15,within-category pattern,FALSE,0.0110496253174132,0.132075471698113,0.0943396226415094,0.0159368185141077,2.44229492460642,0.153638814016173,0.191374663072776
climate,DD_18,cropland,cropland,Growing season and degree-days,Annual,7,0.018629607779511,0.0321445332589349,0,2,1,2,0.0121494915733409,0.285714285714286,0.142857142857143,0.285714285714286,23,within-category pattern,FALSE,0.00588221182685298,0.113207547169811,0.0377358490566038,0.0127473959526581,3.16710929967954,0.172506738544474,0.105121293800539
climate,DD_18_sp,cropland,cropland,Growing season and degree-days,Spring,7,0.0247595267582339,0.0313501891717277,0,3,2,3,0.0118492577290316,0.428571428571429,0.285714285714286,0.428571428571429,18,within-category pattern,FALSE,0.0121760059156609,0.226415094339623,0.0754716981132076,0.012583520842573,2.03346868667237,0.202156334231806,0.210242587601078
