method,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,recall,specificity,precision,f1,tss
plain_mf,6,90294,106404,51564,12248692,54840,38730,0.992450273224749,0.571067845039538,0.995542743335816,0.484605841885643,0.524296129091297,0.566610588375354
plain_mf,7,220966,253254,88926,12008532,164328,132040,0.976087448702281,0.402442004652299,0.986500460861293,0.351133644483404,0.375041120155202,0.388942465513592
plain_mf,9,30500,72636,25326,12316016,47310,5174,0.99576531088947,0.830360655737705,0.99617335982243,0.348670080951594,0.49111852311511,0.826534015560135
plain_mf,10,146264,161057,77118,12163623,83939,69146,0.98764828552539,0.527252092107422,0.993146472742902,0.47882426718491,0.501872634802047,0.520398564850324
plain_mf,11,147057,187873,89389,12148285,98484,57668,0.987400823603623,0.607852737373943,0.991958368774654,0.475794818840387,0.533777207177619,0.599811106148597
plain_mf,12,374213,347395,236595,11908813,110800,137618,0.979956310504924,0.632246875442596,0.990781733155635,0.681054707177708,0.655743838760102,0.62302860859823
plain_mf,13,618971,540475,379039,11613419,161436,239932,0.967615488550509,0.612369561740372,0.986289767474844,0.701307183495999,0.653827776369059,0.598659329215216
plain_mf,14,32665,88121,26767,12299807,61354,5898,0.994573749865457,0.819439767335068,0.995036550369338,0.303752794453082,0.443213617472224,0.814476317704406
plain_mf,15,235591,251523,134135,12040847,117388,101456,0.982342498595672,0.569355365867117,0.990344980171875,0.533291190070093,0.550733503861519,0.559700346038992
plain_mf,16,911178,714708,547143,11315083,167565,364035,0.957107676031598,0.600478720952437,0.985407111669712,0.765547608254,0.673039807218956,0.58588583262215
plain_mf,17,1641,7099,1508,12386594,5591,133,0.999538157143726,0.918951858622791,0.999548828556062,0.212424285110579,0.345080091533181,0.918500687178853
plain_mf,18,112964,161315,45742,12165289,115573,67222,0.985251124229112,0.404925462979356,0.990589178512062,0.283557015776586,0.33354358153559,0.395514641491418
plain_mf,19,691356,582762,533214,11652922,49548,158142,0.983242462819794,0.77125822297051,0.995766022044919,0.914977297764782,0.836993119946504,0.767024245015429
plain_mf,20,379965,411795,222949,11825015,188846,157016,0.97209400874274,0.586761938599608,0.984280990099686,0.541407739287752,0.563173183793069,0.571042928699294
plain_mf,21,599210,523043,385300,11656873,137743,213910,0.971626759969036,0.643013300846114,0.988321535860091,0.736650715141967,0.686654435318952,0.631334836706205
plain_mf,22,41980,103289,30095,12278652,73194,11885,0.993135372402356,0.716888994759409,0.994074246068159,0.291366941300623,0.41433478581115,0.710963240827568
plain_mf,23,326806,327585,193281,11932716,134304,133525,0.978390127471533,0.591424270056241,0.988870160155531,0.590017857960529,0.590720226897986,0.580294430211773
plain_mf,24,845397,692848,543680,11399261,149168,301717,0.963620192828268,0.643106138299521,0.987083264745361,0.784703138350692,0.70688349385176,0.630189403044881
plain_mf,25,237357,305279,155197,12006387,150082,82160,0.981261476480306,0.653854742013086,0.987654145294987,0.508377582473737,0.572011440449952,0.641508887308072
plain_mf,26,40896,108530,23908,12268308,84622,16988,0.991801563133128,0.584604851330203,0.993149641421104,0.22028932092509,0.319997858471752,0.577754492751308
plain_mf,27,859115,725939,633979,11442751,91960,225136,0.974415003082987,0.7379442798694,0.992027541912407,0.873322689647477,0.799946247888085,0.729971821781807
plain_mf,28,46042,105757,22599,12264626,83158,23443,0.991398862627247,0.490834455497155,0.993265350284715,0.21368798282856,0.297748997028966,0.48409980578187
plain_mf,29,164338,201546,129592,12157534,71954,34746,0.991390874779104,0.788569898623569,0.9941163522136,0.64298968969863,0.708377518557794,0.782686250837169
plain_mf,30,576557,460257,248711,11605723,211546,327846,0.956478975903002,0.431372787079161,0.982098571167331,0.540374182250351,0.47976011126393,0.413471358246493
plain_mf,31,841378,732090,593407,11413765,138683,247971,0.968802692566444,0.705279909862155,0.987995358213255,0.810565640836509,0.754266372115607,0.69327526807541
plain_mf,32,60484,109248,40044,12264138,69204,20440,0.992767043849091,0.66205938760664,0.994388868807822,0.366542179261863,0.471849739589471,0.656448256414462
plain_mf,33,389751,388569,257147,11872653,131422,132604,0.978696973799697,0.659772521430349,0.989051884464234,0.661779503768957,0.660774488642204,0.648824405894583
plain_mf,34,5159,23374,3959,12369252,19415,1200,0.998336671823535,0.767396782322155,0.998432841886863,0.169376229999144,0.277503241860302,0.765829624209019
plain_mf,35,32864,73785,27932,12315109,45853,4932,0.995902395273259,0.849926971762415,0.996290499072807,0.378559327776648,0.523811756322141,0.846217470835222
plain_mf,36,22575,137199,16192,12250244,121007,6383,0.989721495202531,0.717253599114064,0.990218693323739,0.118018352903447,0.202686294390827,0.707472292437803
plain_mf,37,191906,194469,140436,12147887,54033,51470,0.991487455124834,0.731795775014851,0.995571762476725,0.722151088348272,0.726941442898738,0.727367537491576
plain_mf,38,30032,54472,27762,12337084,26710,2270,0.997661738998111,0.924413958444326,0.997839659897278,0.509656337200764,0.657057654075547,0.922253618341604
plain_mf,39,21943,75596,13279,12309566,62317,8664,0.994272874252067,0.605158820580595,0.994963014118384,0.175657442192709,0.272280831257241,0.60012183469898
plain_mf,40,339661,327131,128131,11855165,199000,211530,0.966876249513266,0.377232004851896,0.983491183337875,0.391681008525637,0.384320747699432,0.360723188189772
