method,model_family,model_version,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
rf_var,single RF,corrected,6,90294,105126,50588,12248994,54538,39706,0.992395891309108,0.777912999783856,0.560258710434802,0.995567289132909,0.481213020565797,0.517736158018627,0.555825999567711
rf_var,single RF,corrected,7,220966,257533,91947,12007274,165586,129019,0.976229696947496,0.701255453734849,0.416113791262004,0.986397116207695,0.357029972857847,0.38431428278847,0.402510907469699
rf_var,single RF,corrected,9,30500,73901,25186,12314611,48715,5314,0.995640652047237,0.910915104533532,0.825770491803279,0.996059717263785,0.340807296247683,0.482485799944445,0.821830209067064
rf_var,single RF,corrected,10,146264,159547,77104,12165119,82443,69160,0.987767861191532,0.76021249713798,0.527156374774381,0.993268619501579,0.483268253241992,0.504259166609442,0.52042499427596
rf_var,single RF,corrected,11,147057,185431,88729,12150067,96702,58328,0.987491352549245,0.797734279131439,0.603364681722053,0.992103876540825,0.478501437192271,0.533727533023748,0.595468558262878
rf_var,single RF,corrected,12,374213,345214,235073,11909472,110141,139140,0.97988667906101,0.809508116642969,0.628179673073891,0.990836560212047,0.68094862896638,0.653500633142765,0.619016233285938
rf_var,single RF,corrected,13,618971,534368,375609,11616096,158759,243362,0.967554732493421,0.796672611497312,0.606828106647969,0.986517116346656,0.702903242709144,0.6513418864705,0.593345222994625
rf_var,single RF,corrected,14,32665,91112,26336,12296385,64776,6329,0.994262869270555,0.900502466062129,0.806245216592683,0.994759715531575,0.289050838528405,0.425539478255249,0.801004932124259
rf_var,single RF,corrected,15,235591,256508,134349,12036076,122159,101242,0.981974815525085,0.780108145496206,0.570263719751603,0.989952571240809,0.523761442138257,0.54602427560308,0.560216290992413
rf_var,single RF,corrected,16,911178,707531,543084,11318201,164447,368094,0.957031751131571,0.790851349906896,0.596024047990623,0.985678651823168,0.767576261676167,0.671008810107314,0.581702699813791
rf_var,single RF,corrected,17,1641,10202,1510,12383493,8692,131,0.999288113291247,0.959734608933126,0.920170627666057,0.999298590200195,0.148010194079592,0.255002955332264,0.919469217866252
rf_var,single RF,corrected,18,112964,165807,47734,12162789,118073,65230,0.985210136079045,0.706472504597233,0.422559399454694,0.990385609739772,0.287888931106648,0.342460298955056,0.412945009194466
rf_var,single RF,corrected,19,691356,582358,531966,11652078,50392,159390,0.983073669099437,0.88257348767265,0.769453074826862,0.995693900518438,0.913469034511417,0.835298976065271,0.7651469753453
rf_var,single RF,corrected,20,379965,415505,225925,11824281,189580,154040,0.972274905263314,0.789407066473581,0.594594238943061,0.984219894004101,0.54373593578898,0.568028964008699,0.578814132947161
rf_var,single RF,corrected,21,599210,517464,382320,11659472,135144,216890,0.971596018856486,0.813290988376149,0.638040086113383,0.988541890638915,0.738834005843885,0.684747741955127,0.626581976752298
rf_var,single RF,corrected,22,41980,98989,30461,12283318,68528,11519,0.993541381006963,0.860029717739547,0.725607432110529,0.994452003368565,0.307721059915748,0.432165937191865,0.720059435479094
rf_var,single RF,corrected,23,326806,325709,187728,11929039,137981,139078,0.977645401831525,0.781498991639757,0.574432537958299,0.988565445321214,0.576367248064991,0.575398266706513,0.562997983279514
rf_var,single RF,corrected,24,845397,694592,540391,11394228,154201,305006,0.962948729472239,0.812931553166546,0.639215658442128,0.986647447890964,0.777997731042108,0.701811506445825,0.625863106333093
rf_var,single RF,corrected,25,237357,303713,153611,12006367,150102,83746,0.981131895832651,0.817412662069343,0.647172824058275,0.98765250008041,0.5057768353676,0.567804535457519,0.634825324138685
