original_zone,predicted_zone,n,method,method_label
6,15,1310,mf_var,Plain MF RF
6,16,52,mf_var,Plain MF RF
6,17,25,mf_var,Plain MF RF
6,18,85,mf_var,Plain MF RF
6,19,26,mf_var,Plain MF RF
6,20,12,mf_var,Plain MF RF
6,21,1618,mf_var,Plain MF RF
6,22,99,mf_var,Plain MF RF
6,23,309,mf_var,Plain MF RF
6,24,1075,mf_var,Plain MF RF
6,25,718,mf_var,Plain MF RF
6,26,53,mf_var,Plain MF RF
6,27,2321,mf_var,Plain MF RF
6,28,37,mf_var,Plain MF RF
6,29,53,mf_var,Plain MF RF
6,30,322,mf_var,Plain MF RF
6,31,208,mf_var,Plain MF RF
6,32,10,mf_var,Plain MF RF
6,33,133,mf_var,Plain MF RF
6,34,19,mf_var,Plain MF RF
6,35,25,mf_var,Plain MF RF
6,36,33,mf_var,Plain MF RF
6,37,260,mf_var,Plain MF RF
6,38,17,mf_var,Plain MF RF
6,39,12,mf_var,Plain MF RF
6,40,11,mf_var,Plain MF RF
6,41,18,mf_var,Plain MF RF
6,42,98,mf_var,Plain MF RF
6,43,65,mf_var,Plain MF RF
6,44,16,mf_var,Plain MF RF
6,45,29,mf_var,Plain MF RF
6,46,13,mf_var,Plain MF RF
6,47,239,mf_var,Plain MF RF
6,48,14,mf_var,Plain MF RF
6,49,159,mf_var,Plain MF RF
6,50,16,mf_var,Plain MF RF
6,52,14,mf_var,Plain MF RF
6,53,7,mf_var,Plain MF RF
6,54,14,mf_var,Plain MF RF
6,55,18,mf_var,Plain MF RF
7,1,983,mf_var,Plain MF RF
7,2,3344,mf_var,Plain MF RF
7,3,21701,mf_var,Plain MF RF
7,4,2081,mf_var,Plain MF RF
7,5,2452,mf_var,Plain MF RF
7,6,1332,mf_var,Plain MF RF
7,7,91866,mf_var,Plain MF RF
7,9,2667,mf_var,Plain MF RF
7,10,964,mf_var,Plain MF RF
7,11,4272,mf_var,Plain MF RF
7,12,6495,mf_var,Plain MF RF
7,13,8120,mf_var,Plain MF RF
7,14,4540,mf_var,Plain MF RF
7,15,3524,mf_var,Plain MF RF
7,16,238,mf_var,Plain MF RF
7,17,3,mf_var,Plain MF RF
7,18,1054,mf_var,Plain MF RF
7,19,424,mf_var,Plain MF RF
7,20,208,mf_var,Plain MF RF
7,21,768,mf_var,Plain MF RF
7,22,21,mf_var,Plain MF RF
7,23,1955,mf_var,Plain MF RF
7,24,2734,mf_var,Plain MF RF
7,25,3574,mf_var,Plain MF RF
7,26,687,mf_var,Plain MF RF
7,27,5477,mf_var,Plain MF RF
7,28,2199,mf_var,Plain MF RF
7,29,146,mf_var,Plain MF RF
7,30,149,mf_var,Plain MF RF
7,31,545,mf_var,Plain MF RF
7,32,1032,mf_var,Plain MF RF
7,33,15079,mf_var,Plain MF RF
7,34,548,mf_var,Plain MF RF
7,35,360,mf_var,Plain MF RF
7,36,2876,mf_var,Plain MF RF
7,37,2280,mf_var,Plain MF RF
7,38,6,mf_var,Plain MF RF
7,39,1114,mf_var,Plain MF RF
7,40,993,mf_var,Plain MF RF
7,41,18338,mf_var,Plain MF RF
7,42,228,mf_var,Plain MF RF
7,43,4,mf_var,Plain MF RF
7,44,1016,mf_var,Plain MF RF
7,45,120,mf_var,Plain MF RF
7,46,388,mf_var,Plain MF RF
7,47,624,mf_var,Plain MF RF
7,48,1,mf_var,Plain MF RF
7,49,1322,mf_var,Plain MF RF
7,50,94,mf_var,Plain MF RF
7,52,5,mf_var,Plain MF RF
7,53,1,mf_var,Plain MF RF
7,54,5,mf_var,Plain MF RF
7,55,9,mf_var,Plain MF RF
9,2,588,mf_var,Plain MF RF
9,3,3793,mf_var,Plain MF RF
9,4,24,mf_var,Plain MF RF
9,5,29,mf_var,Plain MF RF
9,6,10,mf_var,Plain MF RF
9,7,172,mf_var,Plain MF RF
9,9,25239,mf_var,Plain MF RF
9,10,7,mf_var,Plain MF RF
9,11,211,mf_var,Plain MF RF
9,12,256,mf_var,Plain MF RF
9,13,42,mf_var,Plain MF RF
9,14,45,mf_var,Plain MF RF
9,15,3,mf_var,Plain MF RF
9,16,3,mf_var,Plain MF RF
9,17,1,mf_var,Plain MF RF
