method,zone,original_pixels,predicted_pixels,predicted_to_original,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
optimized_mf,7,220966,250014,1.13145913851,79676,12002522,170338,141290,0.974856190493557,0.67329355018123,0.360580360779486,0.986006739582974,0.3186861535754,0.338341330842074,0.34658710036246
optimized_mf,9,30500,89769,2.94324590163934,24600,12298157,65169,5900,0.994265773942607,0.900643111334439,0.80655737704918,0.994728845619698,0.274036694181733,0.409082972337011,0.801286222668878
optimized_mf,10,146264,150624,1.02980911229011,70881,12167819,79743,75383,0.987483606757106,0.739049545888339,0.484610020237379,0.993489071539299,0.470582377310389,0.477493196087414,0.478099091776678
optimized_mf,11,147057,210876,1.43397458128481,83943,12119836,126933,63114,0.984665994181296,0.780227433445703,0.570819478161529,0.989635388729876,0.398068058954077,0.469043089069742,0.560454866891406
optimized_mf,12,374213,333136,0.890230964717955,214607,11901084,118529,159606,0.977558584411303,0.781813798083413,0.573488895361733,0.990138700805092,0.644202367801739,0.606792403749776,0.563627596166825
optimized_mf,13,618971,525685,0.849288577332379,351747,11600917,173938,267224,0.964404696338322,0.776752520470886,0.568277027518252,0.98522801342352,0.669121241808307,0.614589885520191,0.553505040941772
optimized_mf,14,32665,110476,3.38209092300628,25171,12275856,85305,7494,0.992512481617864,0.881839540420008,0.770580131639369,0.993098949200645,0.227841341105761,0.351695181674014,0.763679080840015
optimized_mf,15,235591,226133,0.959854154021164,112022,12044124,114111,123569,0.980822709629779,0.733054027721702,0.475493546018311,0.990614509425093,0.495381036823462,0.485233602758358,0.466108055443405
optimized_mf,16,911178,679078,0.74527479811848,500009,11303579,179069,411169,0.95237644937084,0.766577665867822,0.548750079567329,0.984405252168315,0.736305696841894,0.62884089102635,0.533155331735645
optimized_mf,17,1641,9973,6.07739183424741,1498,12383710,8475,143,0.999304653784876,0.956087057321422,0.91285801340646,0.999316101236384,0.150205554998496,0.257964525572585,0.912174114642843
optimized_mf,18,112964,168028,1.4874473283524,42742,12155576,125286,70222,0.984225371568069,0.684083301425664,0.378368329733366,0.989798273117962,0.254374270954841,0.304222184261474,0.368166602851328
optimized_mf,19,691356,563910,0.815657924426779,506017,11644577,57893,185339,0.980374744651087,0.863486257315905,0.731919589907371,0.995052924724438,0.897336454398752,0.806230711259605,0.726972514631809
optimized_mf,20,379965,439801,1.15747766241628,220810,11794870,218991,159155,0.969489163394742,0.781452138905948,0.581132472727751,0.981771805084144,0.502067980745837,0.538714706391824,0.562904277811895
optimized_mf,21,599210,491115,0.819604145458187,356891,11660392,134224,242319,0.969618501986392,0.792111217839639,0.595602543348743,0.988619892330535,0.726695376846563,0.654650677550272,0.584222435679277
optimized_mf,22,41980,99822,2.37784659361601,25621,12277645,74201,16359,0.992693136082433,0.802153577619052,0.61031443544545,0.993992719792653,0.256666867023302,0.361363027319784,0.604307155238103
optimized_mf,23,326806,355220,1.08694454814171,170222,11882022,184998,156584,0.972439341975593,0.752767356465691,0.520865589983048,0.984669122948334,0.479201621530319,0.49916572095492,0.505534712931381
optimized_mf,24,845397,666440,0.788316021939988,491084,11373073,175356,354313,0.957263479413056,0.782853589055533,0.580891581115145,0.98481559699592,0.736876538022928,0.6496520458224,0.565707178111065
optimized_mf,25,237357,345266,1.45462741777154,151196,11962399,194070,86161,0.977389467949607,0.810516968606108,0.636998276857224,0.984035660354993,0.437911639141995,0.519018301714831,0.621033937212216
optimized_mf,26,40896,110637,2.70532570422535,20000,12262293,90637,20896,0.991000922556118,0.740854047910351,0.489045383411581,0.992662712409121,0.180771351356237,0.263968904463054,0.481708095820701
