ori,pred,n,method,ori_category,pred_category
16,11,189,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
16,13,1904,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
16,14,4,multiclass_rf,grassland_meadow_steppe,forest
16,15,460,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
16,16,403718,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
16,17,4635,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
16,18,118026,multiclass_rf,grassland_meadow_steppe,scrub
16,19,256,multiclass_rf,grassland_meadow_steppe,no_vegetation
16,20,93020,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
16,21,5,multiclass_rf,grassland_meadow_steppe,cropland
16,22,45990,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
16,23,157,multiclass_rf,grassland_meadow_steppe,desert
16,24,327,multiclass_rf,grassland_meadow_steppe,desert
16,25,4333,multiclass_rf,grassland_meadow_steppe,desert
16,26,133,multiclass_rf,grassland_meadow_steppe,forest
16,28,255,multiclass_rf,grassland_meadow_steppe,forest
16,29,45,multiclass_rf,grassland_meadow_steppe,desert
16,30,41,multiclass_rf,grassland_meadow_steppe,forest
16,31,58991,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
16,32,437,multiclass_rf,grassland_meadow_steppe,desert
16,33,128,multiclass_rf,grassland_meadow_steppe,cropland
16,34,805,multiclass_rf,grassland_meadow_steppe,forest
16,36,614,multiclass_rf,grassland_meadow_steppe,forest
16,37,1,multiclass_rf,grassland_meadow_steppe,forest
16,39,5993,multiclass_rf,grassland_meadow_steppe,forest
16,40,134,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
16,42,9371,multiclass_rf,grassland_meadow_steppe,desert
16,43,22789,multiclass_rf,grassland_meadow_steppe,wetland
16,44,80,multiclass_rf,grassland_meadow_steppe,scrub
