method,scenario,Species,PopulationID,source_zone,new_area_km2,old_area_km2,relative_error
mf_var,2041-2070SSP245,lariGme,lariGme-Zone5,5,136930.790344893,136930.790344891,1.10522927673047e-14
mf_var,2041-2070SSP245,lariGme,lariGme-Zone6,6,2936.05228376262,2936.05228376264,6.19535766990759e-15
mf_var,2041-2070SSP245,lariGme,lariGme-Zone7,7,164370.193234042,164370.193234076,2.09465175850254e-13
mf_var,2041-2070SSP245,lariGme,lariGme-Zone9,9,2236.69370248832,2236.69370248833,3.86293378357107e-15
mf_var,2041-2070SSP245,lariOlg,lariOlg-Zone12,12,281448.525281329,281448.525281404,2.65963560689742e-13
mf_var,2041-2070SSP245,lariOlg,lariOlg-Zone2,2,22371.1264894172,22371.1264894174,1.04076405702685e-14
mf_var,2041-2070SSP245,lariOlg,lariOlg-Zone27,27,670476.114148739,670476.114147545,1.781278648742e-12
mf_var,2041-2070SSP245,lariOlg,lariOlg-Zone3,3,265453.674592307,265453.674592306,2.41203769746836e-15
mf_var,2041-2070SSP245,lariOlg,lariOlg-Zone6,6,2936.05228376262,2936.05228376264,6.19535766990759e-15
mf_var,2041-2070SSP245,lariOlg,lariOlg-Zone7,7,164370.193234042,164370.193234076,2.09465175850254e-13
mf_var,2041-2070SSP245,lariOlg,lariOlg-Zone9,9,2236.69370248832,2236.69370248833,3.86293378357107e-15
mf_var,2041-2070SSP245,phylPub,phylPub-Zone21,21,928888.390099548,928888.390098114,1.54340898603251e-12
mf_var,2041-2070SSP245,phylPub,phylPub-Zone26,26,13817.9201640729,13817.9201640728,9.74135139471806e-15
mf_var,2041-2070SSP245,phylPub,phylPub-Zone28,28,51602.9379170373,51602.9379170377,7.19094402958087e-15
mf_var,2041-2070SSP245,phylPub,phylPub-Zone30,30,161423.023683792,161423.023683891,6.1408617106413e-13
mf_var,2041-2070SSP245,phylPub,phylPub-Zone40,40,243434.193287838,243434.193288014,7.23906904922873e-13
mf_var,2041-2070SSP245,phylPub,phylPub-Zone44,44,234330.152966844,234330.152966986,6.07090131044966e-13
mf_var,2041-2070SSP245,phylPub,phylPub-Zone47,47,174898.021112777,174898.021112818,2.33964829114745e-13
mf_var,2041-2070SSP245,phylPub,phylPub-Zone49,49,135727.053176907,135727.05317692,9.39199477309291e-14
mf_var,2041-2070SSP245,pinuSyl,pinuSyl-Zone2,2,22371.1264894172,22371.1264894174,1.04076405702685e-14
mf_var,2041-2070SSP245,pinuSyl,pinuSyl-Zone27,27,670476.114148739,670476.114147545,1.781278648742e-12
mf_var,2041-2070SSP245,pinuSyl,pinuSyl-Zone3,3,265453.674592307,265453.674592306,2.41203769746836e-15
mf_var,2041-2070SSP245,pinuSyl,pinuSyl-Zone5,5,136930.790344893,136930.790344891,1.10522927673047e-14
