Species,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
pinuYun,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,3694374,2721054.53765966,0.298080840957938,0.32008158611545
pinuYun,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,5875715,4184835.57074049,0.474082501779509,0.492268269002445
pinuYun,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,6330069,4481503.38738134,0.510742088061949,0.527165733932158
querVar,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,5338421,3769946.00230922,0.430730895428432,0.443464208191355
querVar,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,6691335,4656993.39900538,0.539890862140998,0.547808878158276
querVar,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,6935357,4819790.84503272,0.55957979536006,0.566958977510857
robiPse,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,2779188,1808756.306632,0.224238990481259,0.212766623935822
robiPse,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,3467334,2239327.10541962,0.279762101671908,0.263415290584551
robiPse,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,3689464,2374170.73320763,0.297684677242759,0.279277141812668
saliMat,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,1535124,998359.47728143,0.123861594114379,0.117438471217294
saliMat,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,2348741,1514882.10858758,0.189508342271895,0.178197776407552
saliMat,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,2666957,1715872.23455137,0.215183623899113,0.201840536014776
chamFor,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,2123704,1606706.32301378,0.171351215189837,0.188999191737736
chamFor,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,2873149,2175628.022206,0.23182024075458,0.255922275171986
chamFor,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,3193285,2418018.58557414,0.257650437724597,0.284435028190535
cyclLon,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,1908053,1441860.92684395,0.153951398215859,0.169608189043886
cyclLon,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,2625906,1986319.37592635,0.211871420910957,0.233653624938067
cyclLon,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,3000401,2271688.77886369,0.242087577838908,0.267222041100561
lariGme,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,1471942,891645.293114289,0.118763749745237,0.104885527181629
lariGme,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,2338712,1448679.46632948,0.188699151660991,0.170410263718728
lariGme,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,2583732,1620538.47344098,0.208468608584279,0.190626287625323
lariOlg,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,2275056,1437315.56920543,0.183563062566595,0.169073512041914
lariOlg,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,3201994,2035105.53839423,0.258353124037326,0.239392411885218
lariOlg,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,3330770,2120069.5231345,0.268743425175002,0.249386848461908
phylPub,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,2567047,1939468.98632698,0.207122378118337,0.228142545756982
phylPub,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,3030122,2294659.42702033,0.244485618934399,0.269924111711172
phylPub,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,3146911,2381694.42108533,0.253908748085545,0.280162164114132
pinuSyl,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,1759116,1102169.84269619,0.141934405293715,0.129649834847573
pinuSyl,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,2700016,1707811.23881568,0.217850991772866,0.200892309411803
pinuSyl,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,2978853,1900438.80904248,0.240348975856282,0.223551369476358
