method,zone,sensitivity,specificity,precision,balanced_accuracy,f1,tss
multiclass_rf,24,0.522222853329168,0.992579131814714,0.837614234875445,0.757400992571941,0.643343676268322,0.514801985143882
multiclass_rf,25,0.756881294766886,0.984610268713687,0.49009882070321,0.870745781740286,0.594951956932733,0.741491563480573
multiclass_rf,26,0.783650906244649,0.986140521899937,0.15784365408207,0.884895714072293,0.262761629814317,0.769791428144587
multiclass_rf,27,0.699972351875465,0.995008908043756,0.912573384030418,0.847490629959611,0.792258009996692,0.694981259919221
multiclass_rf,28,0.681312714478085,0.989929574917113,0.20170396090535,0.835621144697599,0.311259066689158,0.671242289395199
multiclass_rf,29,0.882941473781643,0.991509817730448,0.58310142363066,0.937225645756046,0.702359298289805,0.874451291512091
multiclass_rf,30,0.337263442866192,0.988750886266712,0.594210254356221,0.663007164566452,0.43029748830948,0.326014329132904
multiclass_rf,31,0.616728217575231,0.991552943112601,0.841922246255349,0.804140580343916,0.71194192048782,0.608281160687832
multiclass_rf,32,0.842200985417149,0.990477136372916,0.302840054458654,0.916339060895033,0.445490045171701,0.832678121790065
multiclass_rf,33,0.643054707424836,0.991437993540697,0.709511946551919,0.817246350482766,0.674650666365181,0.634492700965532
multiclass_rf,34,0.977916748094587,0.99764317878848,0.146504274505211,0.987779963441533,0.254831563669697,0.975559926883066
multiclass_rf,35,0.954479065238559,0.992278301684988,0.247645363754786,0.973378683461773,0.393257652213704,0.946757366923547
multiclass_rf,36,0.863344407530454,0.987319038726917,0.110661927527509,0.925331723128685,0.196178100323608,0.850663446257371
multiclass_rf,37,0.82680004592087,0.993404492244157,0.663513321105221,0.910102269082513,0.73621139888669,0.820204538165027
multiclass_rf,38,0.985814658186541,0.996056070949084,0.378145357006003,0.990935364567812,0.546616076291763,0.981870729135625
multiclass_rf,39,0.82449984049583,0.993345815141491,0.180402245555256,0.90892282781866,0.296032070686411,0.817845655637321
multiclass_rf,40,0.40177721451834,0.984987816809687,0.430044196559545,0.693382515664013,0.415430420790872,0.386765031328026
multiclass_rf,41,0.740908443060596,0.986150167681488,0.2843061363579,0.863529305371042,0.410928250671158,0.727058610742084
multiclass_rf,42,0.859258016213146,0.984127514120188,0.407023315254279,0.921692765166667,0.552386010480936,0.843385530333334
multiclass_rf,43,0.991215741391427,0.997250867274851,0.142313028124606,0.994233304333139,0.248891633764916,0.988466608666277
multiclass_rf,44,0.297603364096615,0.990413859336823,0.597859294625856,0.644008611716719,0.397392198555603,0.288017223433438
multiclass_rf,45,0.938633449349698,0.990155076779364,0.112175721530996,0.964394263064531,0.200401533126483,0.928788526129061
multiclass_rf,46,0.477783892863695,0.992058045218824,0.401160784700315,0.734920969041259,0.436132480850964,0.469841938082519
multiclass_rf,47,0.623751377936064,0.986379552315913,0.574078698862129,0.805065465125988,0.597885103062618,0.610130930251977
multiclass_rf,48,0.997518610421836,0.998869285527469,0.103090139761508,0.998193947974653,0.186868099941894,0.996387895949305
multiclass_rf,49,0.469756131629239,0.990751109720314,0.395700074874318,0.730253620674777,0.429559658967206,0.460507241349553
multiclass_rf,50,0.988084730803177,0.9984531266999,0.104738737895869,0.993268928751539,0.189400668273908,0.986537857503077
multiclass_rf,52,0.917123757284882,0.997572986897238,0.416559616956674,0.95734837209106,0.572904676499719,0.91469674418212
multiclass_rf,53,0.851056481743117,0.994336271339099,0.437428391615162,0.922696376541108,0.577851204434023,0.845392753082216
multiclass_rf,54,0.986720605047929,0.998721745111138,0.415201865077897,0.992721175079534,0.584466322862947,0.985442350159067
multiclass_rf,55,0.973981191222571,0.997792114127332,0.185376331255034,0.985886652674951,0.311470890453873,0.971773305349903
